school,overallScore
ironhack,5.0
ironhack,5.0
ironhack,4.0
ironhack,5.0
ironhack,5.0
ironhack,4.3
ironhack,5.0
ironhack,4.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,4.3
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,4.7
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,4.7
ironhack,5.0
ironhack,4.7
ironhack,5.0
ironhack,5.0
ironhack,4.7
ironhack,4.3
ironhack,4.7
ironhack,5.0
ironhack,4.3
ironhack,5.0
ironhack,4.7
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,4.7
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,2.7
ironhack,4.0
ironhack,4.7
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,4.7
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,4.3
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,4.7
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,4.7
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,4.7
ironhack,5.0
ironhack,4.7
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,4.7
ironhack,4.7
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,3.0
ironhack,4.7
ironhack,5.0
ironhack,4.7
ironhack,5.0
ironhack,5.0
ironhack,4.7
ironhack,4.3
ironhack,4.7
ironhack,5.0
ironhack,2.7
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
ironhack,5.0
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,4.7
app-academy,4.7
app-academy,4.3
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,4.3
app-academy,4.3
app-academy,5.0
app-academy,5.0
app-academy,4.7
app-academy,4.7
app-academy,4.3
app-academy,4.7
app-academy,5.0
app-academy,4.7
app-academy,4.0
app-academy,5.0
app-academy,5.0
app-academy,4.7
app-academy,5.0
app-academy,4.7
app-academy,5.0
app-academy,5.0
app-academy,4.3
app-academy,4.3
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,4.3
app-academy,5.0
app-academy,5.0
app-academy,3.7
app-academy,4.3
app-academy,5.0
app-academy,4.3
app-academy,5.0
app-academy,5.0
app-academy,4.7
app-academy,4.0
app-academy,4.7
app-academy,4.7
app-academy,5.0
app-academy,4.7
app-academy,5.0
app-academy,4.7
app-academy,4.7
app-academy,4.0
app-academy,4.7
app-academy,4.3
app-academy,3.7
app-academy,4.7
app-academy,3.3
app-academy,5.0
app-academy,5.0
app-academy,4.0
app-academy,4.7
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,4.7
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,4.3
app-academy,4.3
app-academy,3.3
app-academy,4.3
app-academy,3.7
app-academy,4.3
app-academy,4.7
app-academy,5.0
app-academy,4.7
app-academy,5.0
app-academy,5.0
app-academy,3.7
app-academy,5.0
app-academy,4.0
app-academy,5.0
app-academy,5.0
app-academy,4.3
app-academy,5.0
app-academy,4.7
app-academy,5.0
app-academy,4.7
app-academy,4.7
app-academy,5.0
app-academy,4.7
app-academy,4.7
app-academy,4.0
app-academy,4.0
app-academy,5.0
app-academy,4.7
app-academy,4.7
app-academy,4.0
app-academy,4.7
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,3.7
app-academy,4.3
app-academy,5.0
app-academy,5.0
app-academy,4.3
app-academy,5.0
app-academy,4.7
app-academy,4.0
app-academy,5.0
app-academy,4.7
app-academy,4.3
app-academy,4.3
app-academy,4.7
app-academy,5.0
app-academy,4.3
app-academy,5.0
app-academy,5.0
app-academy,3.0
app-academy,4.3
app-academy,5.0
app-academy,4.0
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,4.7
app-academy,3.0
app-academy,5.0
app-academy,3.7
app-academy,4.0
app-academy,1.7
app-academy,2.3
app-academy,5.0
app-academy,5.0
app-academy,4.7
app-academy,3.5
app-academy,5.0
app-academy,1.5
app-academy,4.7
app-academy,5.0
app-academy,5.0
app-academy,4.5
app-academy,4.5
app-academy,4.7
app-academy,4.7
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,4.7
app-academy,4.7
app-academy,5.0
app-academy,5.0
app-academy,4.3
app-academy,1.0
app-academy,5.0
app-academy,4.7
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,4.3
app-academy,5.0
app-academy,4.3
app-academy,5.0
app-academy,5.0
app-academy,4.0
app-academy,5.0
app-academy,5.0
app-academy,4.0
app-academy,4.0
app-academy,4.7
app-academy,4.3
app-academy,5.0
app-academy,4.7
app-academy,4.0
app-academy,4.0
app-academy,5.0
app-academy,4.3
app-academy,4.3
app-academy,5.0
app-academy,4.3
app-academy,4.7
app-academy,4.3
app-academy,5.0
app-academy,4.7
app-academy,4.7
app-academy,5.0
app-academy,4.0
app-academy,4.3
app-academy,4.0
app-academy,5.0
app-academy,4.7
app-academy,5.0
app-academy,4.3
app-academy,5.0
app-academy,5.0
app-academy,5.0
app-academy,4.7
app-academy,3.3
app-academy,4.3
app-academy,4.7
app-academy,4.3
app-academy,4.7
app-academy,4.3
app-academy,4.0
app-academy,5.0
app-academy,3.0
app-academy,5.0
app-academy,5.0
app-academy,4.7
app-academy,4.7
app-academy,4.7
app-academy,4.7
app-academy,4.3
app-academy,4.7
app-academy,4.3
app-academy,4.3
app-academy,4.0
app-academy,3.7
app-academy,4.7
app-academy,4.7
app-academy,4.7
app-academy,4.7
app-academy,4.7
app-academy,4.3
app-academy,4.7
app-academy,5.0
app-academy,3.7
app-academy,4.7
app-academy,4.0
app-academy,4.7
app-academy,4.7
app-academy,4.7
app-academy,4.3
app-academy,4.7
app-academy,4.7
app-academy,4.0
app-academy,4.0
app-academy,3.7
app-academy,3.7
app-academy,4.7
app-academy,4.0
app-academy,4.3
app-academy,5.0
app-academy,5.0
app-academy,4.3
app-academy,5.0
app-academy,4.7
app-academy,5.0
app-academy,4.3
app-academy,4.7
app-academy,4.0
app-academy,4.0
app-academy,3.3
app-academy,5.0
app-academy,5.0
app-academy,3.3
app-academy,4.7
app-academy,5.0
app-academy,5.0
app-academy,4.7
app-academy,4.7
app-academy,4.3
app-academy,4.3
